strategy_id;strategy_name
S1543;always
S1545;not be
S1546;pointer
S1548;religious
S1549;executive
S1551;intend
S1553;political
S1555;intimidate
S1556;continue
S1557;consume
S1558;home
S1559;wildfire consume
S1560;10-minute
S1561;juan
S1563;watch
S1564;catholics
S1566;pope
S1568;authority
S1569;historically
S1571;fly
S1573;host
S1574;papal
S1576;turn leave
S1577;turn
S1578;aloof
S1580;route turn
S1581;monument
S1583;carry
S1584;cross carry
S1585;change
S1587;way continue
S1588;way continue yard
S1589;stile
S1592;point way
S1594;drama
S1595;adrenaline
S1598;share
S1599;article
S1600;there
S1603;say “
S1604;volunteer
S1607;volunteer have
S1608;group volunteer have
S1610;recommended
S1612;determine
S1617;have be
S1619;fate
S1620;waiting
S1621;equally
S1623;additional
S1625;permanent
S1627;matter
S1628;thaw
S1629;renowned
S1632;such
S1639;claim
S1642;launch
S1643;know ha
S1644;economically
S1646;context
S1649;literally
S1650;singer
S1654;meet
S1656;speak
S1657;ex-boyfriend
S1659;childhood
S1660;coolest
S1661;highest-ranked
S1662;entertainer
S1663;be highest-ranked
S1666;rapper
S1668;sue
S1669;man sue
S1672;raise
S1674;plead
S1676;srt
S1677;management
S1678;design
S1679;format
S1680;strive
S1682;english
S1684;incredibly
S1685;busy
S1687;tickets
S1689;present
S1690;amazingly
S1694;former
S1695;star
S1696;confirming
S1697;happy
S1701;reject
S1702;question
S1703;president
S1704;faith
S1705;didn
S1707;t say
S1708;oddly
S1709;enough
S1715;worries
S1719;be not
S1722;extremist
S1724;conservatives
S1725;want
S1726;nation
S1729;doesn
S1730;process
S1731;time
S1732;staff
S1733;long process
S1734;same time
S1735;have staff
S1737;operation
S1738;hour
S1739;long hour
S1740;above
S1741;fuck
S1742;push
S1743;administration
S1745;approach
S1746;range approach
S1747;regular
S1748;contact
S1749;also regular
S1750;spokesperson
S1755;declaring
S1756;slip
S1759;expect wa
S1760;expect wa most
S1762;begin
S1765;confuse
S1768;blueprint
S1769;plot
S1770;book
S1771;plan
S1776;write
S1777;nothing
S1778;plot be
S1779;say never
S1780;find plot
S1781;take plan
S1782;waters say never
S1783;plot be more
S1784;say never make
S1788;flow
S1794;sit
S1801;chop
S1804;wood run
S1813;develop
S1814;character think
S1818;mind 's
S1819;mind 's just
S1822;pull
S1826;page see
S1827;few page see
S1829;lean
S1830;drum
S1832;guard
S1836;perfect
S1837;waters lean
S1838;finger drum
S1839;table continue
S1840;thing guard
S1841;waters lean back
S1844;articulate
S1846;thing want
S1848;book be
S1851;page want
S1852;second page want
S1854;afraid
S1856;jot
S1857;sound
S1858;down
S1859;worry
S1860;come sound
S1861;revise
S1863;throw
S1864;rewrite
S1865;page rewrite
S1869;try
S1870;force
S1873;fill
S1874;well be
S1875;require
S1878;book require
S1879;year write
S1883;crackpot make
S1885;plunge
S1886;work
S1889;feel
S1890;pop
S1891;time feel
S1892;start pop
S1893;short time feel
S1894;time feel lose
S1895;enjoy
S1896;writer enjoy
S1902;waters find
S1903;job do
S1904;satisfaction feel
S1905;real job do
S1906;little satisfaction feel
S1907;confine 're
S1908;confine 're never
S1909;bug
S1911;forget
S1918;type
S1919;manuscript be
S1920;sister type
S1921;first manuscript be
S1926;stop
S1928;rush
S1933;waters stop
S1934;inspiration have
S1935;desk write
S1936;sober see
S1937;ha be
S1938;cold sober see
S1939;rotten ha be
S1942;scrap
S1944;wa write
S1945;name wa
S1946;name wa then
S1949;produce
S1950;wa star
S1953;evolve
S1954;picture write
S1956;like
S1958;people say
S1961;richness do
S1962;richness do n't
S1968;necessitate
S1969;routine have
S1970;ask write
S1971;script necessitate
S1973;friend
S1974;author live
S1975;make friend
S1976;year make friend
S1979;instrumental have
S1981;custom be
S1982;traditional custom be
S1987;kid want
S1988;kid have
S1989;reservation get
S1990;white kid have
S1994;grow
S1997;publish
S1998;involve
S1999;case involve
S2002;concoct
S2003;save
S2004;story save
S2005;detective story save
S2008;series be
S2009;favorite series be
S2014;waters learn
S2017;epitomize
S2018;culture epitomize
S2019;american culture epitomize
S2022;break
S2026;own
S2028;expected
S2029;learning
S2031;aware
S2032;important
S2033;explore
S2034;potential
S2037;negotiation
S2038;importance
S2039;workshop have
S2040;be aware
S2041;see benefit
S2042;solve negotiation
S2043;understand importance
S2044;problem solve negotiation
S2046;obtain
S2048;attend
S2049;please
S2053;allocate
S2054;request be
S2055;circumstance be
S2056;list allocate
S2057;unforeseen circumstance be
S2058;wait list allocate
S2062;disadvantage
S2063;lose
S2065;include
S2066;u provide
S2067;member include
S2068;enable u provide
S2070;postpone
S2071;cancel
S2072;happen
S2073;tutor
S2075;reimburse
S2076;note be
S2077;ha happen
S2078;strike be
S2079;ha happen only
S2082;email
S2085;re-schedule
S2086;future email
S2087;attempt re-schedule
S2091;online apply
S2092;workshop please
S2093;one-day workshop please
S2095;login
S2096;register
S2103;event have
S2104;applicant be
S2105;successful applicant be
S2112;represent
S2114;work ’
S2115;client be
S2119;appear
S2120;post appear
S2121;post appear first
S2123;workshop give
S2126;improve
S2127;process help
S2128;prepare
S2129;gather
S2131;negotiate
S2133;grind
S2135;negotiation prepare
S2136;information need
S2137;principled negotiation prepare
S2138;negotiation prepare effectively
S2143;workshop include
S2144;exercise provide
S2145;opportunity try
S2146;practical exercise provide
S2152;agree
S2153;regret
S2154;anyone need
S2155;past agree
S2159;qualifications require
S2160;qualification be
S2161;specific qualification be
S2164;enhancement include
S2165;solution help
S2167;enhancement support
S2170;conjunction provide
S2171;source include
S2172;reduce
S2173;optimize
S2174;help reduce
S2175;environment optimize
S2176;allow
S2177;device allow
S2178;smart device allow
S2179;send
S2182;address
S2184;capability help
S2185;prepare address
S2186;say senior
S2187;gain
S2188;communication
S2189;proactive
S2190;actionable
S2191;dynamic
S2192;world
S2193;organization gain
S2194;real-time communication
S2195;more proactive
S2196;leader actionable
S2197;drive real-time communication
S2198;employ more proactive
S2199;more proactive approach
S2201;action
S2203;anticipate respond
S2204;take action
S2205;make more
S2209;platform be
S2213;solution be
S2216;vision be
S2218;contain
S2220;release contain
S2221;statement include
S2222;forward-looking statement include
S2225;base
S2227;cause
S2228;differ
S2229;imply
S2230;statement be
S2231;performance be
S2232;expectation involve
S2233;assumption cause
S2234;result differ
S2235;express imply
S2236;forward-looking statement be
S2237;future performance be
S2238;actual result differ
S2239;statement be not
S2240;result differ materially
S2243;factor see
S2244;filing make
S2245;other filing make
S2249;update
S2253;release be
S2254;law assume
S2255;obligation update
S2260;mention be
S2261;face
S2263;surround
S2264;death
S2265;circumstance surround
S2266;baby death
S2269;too
S2272;investigation
S2274;right
S2276;hospital
S2277;upset
S2278;staff hospital
S2279;birth
S2281;give birth
S2282;partner leave
S2283;baby partner leave
S2285;blood
S2288;related
S2290;petition
S2291;hope
S2293;express
S2294;cover express
S2295;still
S2302;heart
S2308;marriage work
S2312;work saw
S2316;care
S2318;day say
S2322;foster
S2323;talk
S2324;kid be
S2325;bring foster
S2326;do talk
S2327;care do talk
S2328;kid be more
S2331;snowball ’
S2332;snowball ’ ve
S2333;die
S2334;woman s
S2335;58-year-old woman s
S2337;felt
S2346;outweigh
S2347;have. say
S2349;couldn
S2352;ve have
S2353;case couldn
S2354;handle say
S2356;possibly
S2358;everything possibly
S2369;blossom
S2371;call have
S2374;recognise
S2377;accept
S2380;leader say
S2381;ability accept
S2382;child come
S2386;pass
S2387;skill have
S2388;incredible skill have
S2390;describe
S2396;woman provide
S2397;child have
S2398;incredible woman provide
S2400;place
S2405;house be
S2409;child
S2415;executive say
S2416;woman open
S2417;house child
S2418;chief executive say
S2419;extraordinary woman open
S2424;support say
S2425;unconditional support say
S2429;repair
S2431;home child
S2435;were.
S2436;funeral
S2437;celebrate
S2438;kind
S2441;world love
S2442;attend s
S2443;remember kind
S2444;wa always
S2445;wa always do
S2446;heartwarming
S2451;wa take
S2459;break get
S2460;family say
S2461;break get away
S2471;wonderful care
S2472;everybody wa
S2473;with. say
S2474;plan continue
S2475;work wa
S2478;ring
S2480;dignity tell
S2481;son live
S2482;quiet dignity tell
S2490;new
S2491;door
S2497;be nothing
S2498;come home
S2499;see new
S2500;walk door
S2502;d say
S2504;face walk door
S2507;week turn
S2508;bring
S2511;family bring
S2512;way bring
S2513;same way bring
S2519;son drive
S2523;seat say
S2524;front seat say
S2530;light look
S2531;road see
S2532;wonder
S2533;story ..
S2534;confusing
S2536;become
S2537;year make
S2538;news become
S2539;few year make
S2541;wa wa
S2547;recall
S2551;justice
S2552;troop help
S2553;american troop help
S2554;release
S2559;troop have
S2560;partner help
S2561;unsavory partner help
S2562;working
S2566;topple
S2567;trigger
S2568;force have
S2571;central force have
S2577;ha make
S2581;rebel be
S2582;rebel be actually
S2585;condemn
S2588;talk say
S2589;terrorism wa
S2590;due terrorism wa
S2593;someone be
S2597;disaster be
S2599;democracy be
S2601;result be
S2604;group ha
S2605;group be
S2606;group be clearly
S2608;democracy
S2612;rig
S2614;war be
S2616;system produce
S2621;trust
S2622;refrain
S2627;strength be
S2628;religion be
S2629;organization be
S2630;one ha
